area_type,availability,location,size,society,total_sqft,bath,balcony,price
Plot  Area,Ready To Move,Bandra,3 Bedroom,,2790,3,0,22975.92998
Super built-up  Area,Ready To Move,Borivali,3 BHK,Dhalsh ,1410,2,3,10555.55556
Plot  Area,Ready To Move,Andheri,4 Bedroom,,1300,3,0,30081.65019
Super built-up  Area,Ready To Move,Andheri,2 BHK,PuandHi,1339,2,2,17760
Plot  Area,Ready To Move,Powai,4 Bedroom,,900,4,1,24074.07407
Super built-up  Area,Ready To Move,Colaba,2 BHK,Unm 2El,1104,2,1,29545.45455
Built-up  Area,Ready To Move,Vile Parle,2 BHK,,900,2,2,14942.52874
Built-up  Area,Ready To Move,Chembur,3 BHK,Shestth,1550,2,2,55000
Super built-up  Area,20-Dec,Mulund,1 BHK,GolusLi,670,1,1,42857.14286
Super built-up  Area,19-Dec,Vile Parle,2 BHK,Ceezey ,1483,2,1,19138.75598
Super built-up  Area,Ready To Move,Dadar,3 BHK,Saavenc,1540,2,2,31578.94737
Plot  Area,Ready To Move,Colaba,8 Bedroom,,1200,7,3,14843.75
Super built-up  Area,Ready To Move,Malad,2 BHK,,1255,2,1,20769.23077
Plot  Area,Ready To Move,Chembur,3 Bedroom,,600,3,2,35294.11765
Super built-up  Area,Ready To Move,Andheri,2 BHK,,1036,2,2,15043.73178
Super built-up  Area,Ready To Move,Lower Parel,3 BHK,SNity S,1460,2,2,31666.66667
Super built-up  Area,Ready To Move,Bandra,2 BHK,Wiaysld,1230,2,1,10526.31579
Built-up  Area,Ready To Move,Andheri,2 BHK,PuandHi,1340,2,2,57142.85714
Built-up  Area,Ready To Move,Chembur,3 BHK,,1600,3,3,27748.6911
Built-up  Area,18-Apr,Borivali,3 BHK,SoisoCa,2162,3,1,24878.04878
Super built-up  Area,Ready To Move,Goregaon,2 BHK,Itvir M,919,2,2,36842.10526
Super built-up  Area,18-Aug,Santacruz,2 BHK,,1070,2,2,23002.42131
Super built-up  Area,Ready To Move,Ghatkopar,3 BHK,UmrldDr,1733,2,3,54285.71429
Super built-up  Area,Ready To Move,Goregaon,3 BHK,DLhtsan,1221,3,3,35714.28571
Super built-up  Area,Ready To Move,Andheri,2 BHK,,1041,2,1,17031.63017
Built-up  Area,Ready To Move,Santacruz,4 BHK,SJodsed,2550,4,2,42179.26186
Built-up  Area,Ready To Move,Vile Parle,3 BHK,,1400,3,1,20303.0303
Plot  Area,Ready To Move,Colaba,1 Bedroom,,600,2,0,34202.65071
Built-up  Area,Ready To Move,Chembur,1 BHK,MaentNa,710,2,2,31982.94243
Super built-up  Area,18-Apr,Khar,3 BHK,GMown E,1500,2,1,29508.19672
Super built-up  Area,Ready To Move,Khar,4 BHK,Prtanha,3122,6,2,9202.453988
Super built-up  Area,Ready To Move,Colaba,3 BHK,HiahsLa,2061,3,3,38043.47826
Plot  Area,Ready To Move,Colaba,5 Bedroom,,2400,5,2,16666.66667
Super built-up  Area,19-Dec,Bandra,3 BHK,Magiaya,1255,2,1,20241.93548
Super built-up  Area,Ready To Move,Powai,7 BHK,,2425,7,3,15750
Super built-up  Area,Ready To Move,Andheri,2 BHK,Brods W,1031,2,1,22222.22222
Super built-up  Area,18-Jul,Mulund,2 BHK,Soresea,1210,2,1,50000
Super built-up  Area,Ready To Move,Bandra,2 BHK,ACopsva,950,2,1,20576.13169
Plot  Area,Ready To Move,Mulund,4 Bedroom,,1376,4,1,10000
Super built-up  Area,18-Dec,Santacruz,2 BHK,Mahesr ,1161,2,1,15789.47368
Super built-up  Area,Ready To Move,Juhu,2 BHK,GrrvaGr,1303,2,2,32568.4485
Super built-up  Area,Ready To Move,Mulund,2 BHK,Prtanha,1418,2,2,37837.83784
Plot  Area,Ready To Move,Powai,2 Bedroom,,1200,2,1,14909.47817
Super built-up  Area,Ready To Move,Santacruz,3 BHK,,1825,3,,26190.47619
Built-up  Area,Ready To Move,Powai,2 BHK,Bhhmi L,1015,2,0,53333.33333
Carpet  Area,Ready To Move,Dadar,3 BHK,,1150,2,0,20000
Super built-up  Area,Ready To Move,Andheri,2 BHK,Priewhi,1010,2,1,25714.28571
Super built-up  Area,Ready To Move,Borivali,3 BHK,Sariana,1508,3,1,17021.2766
Super built-up  Area,Ready To Move,Worli,2 BHK,BriumMi,1275,2,1,37500
Built-up  Area,Ready To Move,Goregaon,3 BHK,Kaiew L,1460,3,1,22619.04762
Super built-up  Area,Ready To Move,Goregaon,2 BHK,,946,2,2,34722.22222
Super built-up  Area,Ready To Move,Goregaon,2 BHK,Alows M,1110,2,2,22500
Super built-up  Area,Ready To Move,Goregaon,3 BHK,SaireSa,1832,3,1,23054.58769
Super built-up  Area,18-Apr,Worli,2 BHK,Arcia S,1088,2,2,29137.52914
Super built-up  Area,Ready To Move,Goregaon,3 BHK,Soitya ,1564,3,1,25657.89474
Super built-up  Area,18-Jan,Ghatkopar,2 BHK,Prclee ,1030,2,1,18571.42857
Super built-up  Area,Ready To Move,Chembur,2 BHK,,660,2,0,10116.27907
Super built-up  Area,Ready To Move,Powai,3 BHK,Asncywo,1700,3,1,19393.93939
Plot  Area,Ready To Move,Mulund,4 Bedroom,,1100,5,2,16666.66667
Super built-up  Area,18-Feb,Powai,2 BHK,,1205,2,2,35492.34136
Super built-up  Area,Ready To Move,Vile Parle,3 BHK,,1950,3,2,15960.91205
Super built-up  Area,18-May,Lower Parel,2 BHK,,1080,2,1,19444.44444
Built-up  Area,Ready To Move,Worli,4 BHK,AWharde,2800,4,,13620.68966
Super built-up  Area,19-Jan,Borivali,2 BHK,Hanar I,999,2,1,38805.97015
Plot  Area,Ready To Move,Kurla,4 Bedroom,,900,4,3,30637.2549
Super built-up  Area,19-Jul,Worli,2 BHK,Soazak ,1300,2,1,18025.75107
Super built-up  Area,Ready To Move,Mulund,2 BHK,Srayatr,1265,2,1,14177.69376
Built-up  Area,Ready To Move,Mulund,2 BHK,,1200,2,2,17909.35673
Super built-up  Area,18-Mar,Worli,4 BHK,Rosha I,1974,4,0,20769.23077
Super built-up  Area,Ready To Move,Andheri,2 BHK,Goezell,1180,2,2,26917.9004
Super built-up  Area,Ready To Move,Ghatkopar,3 BHK,,1350,2,3,18733.85013
Super built-up  Area,Ready To Move,Khar,3 BHK,DiamiSa,1560,2,2,17361.11111
Plot  Area,Ready To Move,Bandra,2 Bedroom,,2800,2,0,19384.61538
Super built-up  Area,18-Aug,Chembur,2 BHK,Maunt M,1085,2,1,11494.25287
Super built-up  Area,Ready To Move,Bandra,3 BHK,J axyGa,1300,2,2,16216.21622
Super built-up  Area,Ready To Move,Lower Parel,3 BHK,Afncyad,1600,3,2,12775.84204
Super built-up  Area,Ready To Move,Colaba,2 BHK,,1127,2,2,18787.87879
Super built-up  Area,Ready To Move,Dadar,2 BHK,Malowr ,795,2,2,23684.21053
Super built-up  Area,Ready To Move,Khar,3 BHK,,1850,3,2,21182.26601
Built-up  Area,18-Jul,Dadar,2 BHK,,1020,2,1,16000
Built-up  Area,Ready To Move,Colaba,3 BHK,KroneMo,1475,2,1,19354.83871
Plot  Area,Ready To Move,Mulund,3 Bedroom,,1200,3,3,36000
Super built-up  Area,Ready To Move,Khar,3 BHK,Aklia R,1345,2,1,9215.686275
Super built-up  Area,19-Nov,Juhu,2 BHK,,849,2,1,25000
Super built-up  Area,19-Sep,Worli,3 BHK,Soazak ,1706,3,2,64864.86486
Super built-up  Area,19-Dec,Mulund,4 BHK,LedorSa,2100,4,1,11911.62344
Super built-up  Area,Ready To Move,Dadar,3 BHK,,1250,2,2,22352.94118
Built-up  Area,Ready To Move,Ghatkopar,3 BHK,JRrnauv,1260,3,3,19540.22989
Super built-up  Area,Ready To Move,Colaba,3 BHK,,1265,2,1,11000
Super built-up  Area,17-Nov,Mulund,3 BHK,AdhriPa,1260,2,1,20144.92754
Super built-up  Area,18-Dec,Santacruz,2 BHK,Vaniai ,1045,2,1,18111.11111
Super built-up  Area,Ready To Move,Goregaon,4 BHK,,3895,4,2,17272.72727
Super built-up  Area,18-May,Dadar,1 RK,AsNowre,385 - 440,1,0,16230.76923
Super built-up  Area,17-Jun,Powai,2 BHK,,1100,2,3,19565.21739
Super built-up  Area,19-Sep,Goregaon,2 BHK,Srods P,1113,2,1,16250
Super built-up  Area,18-Dec,Colaba,4 BHK,Jaades ,2774,4,3,12500
Built-up  Area,Ready To Move,Juhu,2 BHK,Vaensia,1210,2,1,52631.57895
Super built-up  Area,Ready To Move,Mulund,1 BHK,,700,1,1,28125
Super built-up  Area,18-May,Andheri,2 BHK,NellsKo,1155,2,1,11666.66667
Super built-up  Area,22-Jun,Goregaon,2 BHK,GoAirej,1132,2,1,9080.45977
Super built-up  Area,18-Jan,Worli,2 BHK,Asadacy,1359,2,2,23195.87629
Super built-up  Area,Ready To Move,Dadar,4 BHK,Reeroce,2631,3,,19444.44444
Super built-up  Area,Ready To Move,Juhu,2 BHK,,1145,2,2,27945.61934
Built-up  Area,Ready To Move,Dadar,1 BHK,Shenshi,600,1,1,18316.83168
Plot  Area,Ready To Move,Worli,1 Bedroom,,1200,1,1,10461.53846
Built-up  Area,Ready To Move,Vile Parle,2 BHK,,830,2,1,21764.70588
Super built-up  Area,Ready To Move,Khar,2 BHK,Ammesss,1009,2,2,12083.33333
Super built-up  Area,Ready To Move,Lower Parel,3 BHK,Soarkig,1800,3,2,17333.33333
Super built-up  Area,Ready To Move,Borivali,2 BHK,Niareum,1226,2,2,12608.69565
Super built-up  Area,Ready To Move,Goregaon,2 BHK,,1500,2,2,24000
Super built-up  Area,Ready To Move,Bandra,2 BHK,Prarkun,1363,2,1,5405.405405
Built-up  Area,Ready To Move,Worli,3 Bedroom,,1400,2,1,18779.34272
Built-up  Area,18-Dec,Chembur,2 BHK,,1165,2,1,14615.38462
Built-up  Area,Ready To Move,Mulund,4 Bedroom,Rocid P,2792,4,1,16400
Built-up  Area,Ready To Move,Andheri,1 Bedroom,,700,1,0,23364.48598
Super built-up  Area,Ready To Move,Goregaon,2 BHK,May 2ge,1060,2,2,25584.79532
Built-up  Area,Ready To Move,Santacruz,2 BHK,Vantsra,1200,2,1,27777.77778
Built-up  Area,18-Dec,Juhu,3 BHK,,1518,3,2,16897.9011
Built-up  Area,Ready To Move,Lower Parel,3 BHK,Ablmsol,1495,2,2,24778.76106
Built-up  Area,Ready To Move,Santacruz,2 BHK,,1575,2,2,19696.9697
Built-up  Area,Ready To Move,Andheri,2 BHK,Brway G,1440,2,2,17575.75758
Super built-up  Area,18-Dec,Juhu,3 BHK,Goaysn ,1545,3,1,20526.31579
Built-up  Area,Ready To Move,Juhu,3 BHK,Akdorli,1470,3,3,19108.28025
Super built-up  Area,Ready To Move,Goregaon,3 BHK,,1500,3,3,31358.88502
Built-up  Area,Ready To Move,Dadar,3 BHK,Myace P,1450,2,2,13445.37815
Super built-up  Area,Ready To Move,Chembur,2 BHK,,1179,2,1,13157.89474
Super built-up  Area,Ready To Move,Bandra,3 BHK,Eladero,1650,3,2,20588.23529
Super built-up  Area,Ready To Move,Lower Parel,3 BHK,Arhid O,1095,2,2,6862.745098
Built-up  Area,18-Jan,Mulund,2 BHK,,856,2,1,19285.71429
Super built-up  Area,Ready To Move,Khar,2 BHK,Malmsri,1143,2,1,6400
Super built-up  Area,Ready To Move,Santacruz,2 BHK,Prersis,1349,2,1,19920.31873
Built-up  Area,Ready To Move,Borivali,3 BHK,ACopsva,1280,2,2,28000
Super built-up  Area,Ready To Move,Mulund,1 BHK,,480,1,1,16483.51648
Super built-up  Area,18-Dec,Borivali,2 BHK,Prtates,1216,2,1,16760.56338
Super built-up  Area,Ready To Move,Chembur,3 BHK,,2493,3,,5373.303167
Super built-up  Area,Ready To Move,Chembur,2 BHK,PantsAp,1290,2,1,26737.96791
Plot  Area,Ready To Move,Juhu,5 Bedroom,,1200,5,2,20676.69173
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,Elodsre,1156,2,2,22222.22222
Super built-up  Area,Ready To Move,Borivali,2 BHK,MenueNo,1230,2,2,28947.36842
Super built-up  Area,Ready To Move,Powai,2 BHK,PSterAs,1070,2,2,20666.66667
Plot  Area,Immediate Possession,Borivali,,Emngs S,2100 - 5405,,,44535.31599
Super built-up  Area,18-Aug,Juhu,2 BHK,ViistLa,1235,2,1,18315.01832
Built-up  Area,Ready To Move,Dadar,2 BHK,Krone S,1117,2,1,16785.71429
Super built-up  Area,Ready To Move,Bandra,3 BHK,Dieldli,1724,3,2,15697.67442
Plot  Area,Ready To Move,Chembur,4 Bedroom,,1200,4,0,13608.24742
Super built-up  Area,Ready To Move,Goregaon,1 BHK,Raiyai ,600,1,1,26562.5
Super built-up  Area,Ready To Move,Khar,3 BHK,DSise S,1930,2,2,42375
Super built-up  Area,18-Dec,Lower Parel,2 BHK,Prtates,1216,2,1,69107.66246
Built-up  Area,Ready To Move,Mulund,3 BHK,ViionMa,1452,3,3,20357.14286
Super built-up  Area,Ready To Move,Santacruz,2 BHK,Veale R,1355,2,3,25000
Built-up  Area,Ready To Move,Mulund,4 Bedroom,,7500,4,,44642.85714
Super built-up  Area,Ready To Move,Mulund,3 BHK,Adeatlm,2145,3,3,23016.99717
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,Varlsa ,957,2,1,39436.61972
Built-up  Area,Ready To Move,Vile Parle,2 BHK,Maest N,925,2,2,23181.81818
Super built-up  Area,Ready To Move,Powai,2 BHK,Grntsd ,1550,2,3,9000
Plot  Area,Ready To Move,Borivali,4 Bedroom,,4000,2,1,16836.73469
Plot  Area,20-Jul,Worli,3 Bedroom,,2100,3,2,41862.06897
Super built-up  Area,21-Dec,Mulund,2 BHK,PrarePa,1115,2,1,11329.47977
Super built-up  Area,Ready To Move,Bandra,3 BHK,NCowsar,1692,3,2,19704.4335
Super built-up  Area,Ready To Move,Mulund,2 BHK,,1100,2,2,5972.222222
Super built-up  Area,Ready To Move,Chembur,3 BHK,ARureig,1385,2,2,23643.41085
Super built-up  Area,Ready To Move,Lower Parel,1 BHK,Amelllu,760,1,1,5666.666667
Super built-up  Area,19-Dec,Khar,2 BHK,Shitt S,1335,2,2,7586.206897
Super built-up  Area,Ready To Move,Powai,2 BHK,Kut 3or,910,2,1,15254.23729
Super built-up  Area,Ready To Move,Goregaon,3 BHK,MGBay T,1610,2,2,15695.06726
Super built-up  Area,19-Mar,Kurla,2 BHK,Puachal,1341,2,1,15879.82833
Plot  Area,Ready To Move,Khar,3 Bedroom,,1200,3,0,18235.29412
Super built-up  Area,Ready To Move,Vile Parle,3 BHK,SLnssPr,1285,2,2,23125
Super built-up  Area,Ready To Move,Powai,3 BHK,,2100,3,,16962.8433
Super built-up  Area,Ready To Move,Kurla,3 BHK,IBityin,1679,3,,23888.88889
Built-up  Area,Ready To Move,Mulund,4 Bedroom,,2675,4,2,22104.33245
Built-up  Area,Ready To Move,Dadar,2 BHK,,1016,2,1,12428.57143
Built-up  Area,Ready To Move,Bandra,4 Bedroom,,1500,2,0,21529.41176
Plot  Area,Ready To Move,Ghatkopar,3 Bedroom,,660,2,1,12962.96296
Super built-up  Area,Ready To Move,Dadar,3 BHK,PhestOn,2448,3,2,20000
Super built-up  Area,Ready To Move,Vile Parle,2 BHK,,924,2,2,22279.34876
Super built-up  Area,18-Jul,Kurla,1 BHK,Maian M,500,1,1,18329.9389
Super built-up  Area,Ready To Move,Chembur,3 BHK,,1800,3,2,16403.78549
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,Vixirri,1255,2,3,34222.22222
Super built-up  Area,18-Dec,Dadar,2 BHK,Inaxyga,1040,2,2,35714.28571
Super built-up  Area,Ready To Move,Kurla,2 BHK,Vehida ,1062,2,2,10000
Super built-up  Area,19-Dec,Lower Parel,2 BHK,Aseenh ,770 - 841,2,0,15957.44681
Super built-up  Area,Ready To Move,Colaba,2 BHK,Nimesch,950,2,1,22105.26316
Super built-up  Area,18-May,Colaba,2 BHK,Prtates,1216,2,1,21250
Super built-up  Area,Ready To Move,Colaba,2 BHK,AdadeEs,1300,2,2,17857.14286
Super built-up  Area,Ready To Move,Andheri,2 BHK,,1390,2,2,7414.634146
Super built-up  Area,19-Jul,Juhu,2 BHK,Goues A,1033,2,1,40000
Super built-up  Area,19-Dec,Ghatkopar,2 BHK,Goues A,1390,2,2,8396.946565
Super built-up  Area,Ready To Move,Khar,2 BHK,,1020,2,1,5208.333333
Super built-up  Area,19-Dec,Bandra,1 BHK,Oreldhi,524 - 894,1,0,16525.02361
Super built-up  Area,18-Oct,Andheri,2 BHK,ARipsul,1140,2,2,17857.14286
Super built-up  Area,Ready To Move,Powai,1 BHK,IBityin,670,1,1,34722.22222
Super built-up  Area,18-Jul,Vile Parle,4 BHK,Rosha I,2171,4,2,33700.98039
Super built-up  Area,Ready To Move,Ghatkopar,2 BHK,Gundaa ,1136,2,1,20481.92771
Built-up  Area,Ready To Move,Powai,3 BHK,Sueesti,1477,2,2,30357.14286
Super built-up  Area,Ready To Move,Juhu,2 BHK,,1001,2,2,20344.82759
Super built-up  Area,19-Dec,Goregaon,2 BHK,Goues A,1040,2,1,8666.666667
Super built-up  Area,Ready To Move,Borivali,2 BHK,,1060,2,1,35433.07087
Super built-up  Area,Ready To Move,Santacruz,2 BHK,,1240,2,1,16080
Super built-up  Area,Ready To Move,Worli,4 BHK,ETntsce,3500,5,,18518.51852
Super built-up  Area,Ready To Move,Vile Parle,9 BHK,,42000,8,3,16806.02007
Super built-up  Area,20-Dec,Bandra,2 BHK,Myple M,1070,2,2,4456.521739
Built-up  Area,Ready To Move,Malad,2 BHK,SJmesst,1253,2,1,13600
Super built-up  Area,Ready To Move,Goregaon,2 BHK,Srmesun,1190,2,2,40625
Super built-up  Area,Ready To Move,Kurla,2 BHK,Sparam ,1312,2,2,20782.39609
Built-up  Area,Ready To Move,Powai,2 BHK,HovasTe,750,2,0,21363.63636
Built-up  Area,Ready To Move,Mulund,3 BHK,KHage G,1615,3,2,35666.66667
Built-up  Area,Ready To Move,Powai,2 BHK,,1095,2,1,17250
Super built-up  Area,Ready To Move,Ghatkopar,3 BHK,Gotis A,1745,3,3,7500
Super built-up  Area,Ready To Move,Vile Parle,2 BHK,,1050,2,2,20454.54545
Plot  Area,Ready To Move,Chembur,4 Bedroom,,2080,4,2,22012.57862
Super built-up  Area,Ready To Move,Kurla,2 BHK,MenueNo,1220,2,1,12083.33333
Super built-up  Area,Ready To Move,Malad,3 BHK,Sonumy ,1793,3,2,6000
Super built-up  Area,Ready To Move,Kurla,2 BHK,,1100,1,2,7454.545455
Super built-up  Area,Ready To Move,Colaba,2 BHK,Covelrs,1385,2,3,38235.29412
Super built-up  Area,Ready To Move,Khar,2 BHK,,1200,2,2,17692.30769
Super built-up  Area,Ready To Move,Andheri,3 BHK,NDionas,2017,2,2,63035.71429
Super built-up  Area,Ready To Move,Dadar,1 BHK,Jae 1hu,400,1,1,16296.2963
Super built-up  Area,18-Apr,Santacruz,3 BHK,,1400,2,2,19130.43478
Super built-up  Area,Ready To Move,Borivali,2 BHK,Saaveir,960,2,1,16250
Super built-up  Area,Ready To Move,Bandra,2 BHK,Aklia R,1125,2,1,17441.86047
Super built-up  Area,Ready To Move,Powai,3 BHK,Javasi ,1551,2,2,36666.66667
Plot  Area,Ready To Move,Andheri,4 Bedroom,,600,4,2,18750
Super built-up  Area,Ready To Move,Dadar,2 BHK,,1246,2,1,25362.31884
Built-up  Area,18-Apr,Juhu,4 BHK,,3200,4,3,36585.36585
Super built-up  Area,Ready To Move,Malad,2 BHK,SrncyRe,1060,2,1,16363.63636
Super built-up  Area,Ready To Move,Worli,2 BHK,ReudePr,1384,2,2,10940.17094
Super built-up  Area,Ready To Move,Juhu,2 BHK,VBavaai,620,2,1,14272.72727
Super built-up  Area,18-Jun,Vile Parle,2 BHK,SSestth,1005,2,1,19161.67665
Plot  Area,Ready To Move,Mulund,3 Bedroom,,1200,3,2,27249.13495
Built-up  Area,Ready To Move,Lower Parel,3 BHK,,1400,3,2,8743.169399
Super built-up  Area,Ready To Move,Malad,3 BHK,SrisePo,2400,3,3,4000
Super built-up  Area,Ready To Move,Borivali,2 BHK,Rabow R,1096,2,1,19680.85106
Super built-up  Area,Ready To Move,Bandra,2 BHK,,1180,1,0,28000
Super built-up  Area,Ready To Move,Malad,3 BHK,,1300,2,1,16190.47619
Plot  Area,18-Apr,Powai,2 Bedroom,,1020,2,1,10582.01058
Plot  Area,Ready To Move,Borivali,2 Bedroom,,600,2,0,47220.10663
Super built-up  Area,Ready To Move,Mulund,4 BHK,Vacesi ,3563,6,1,7474.226804
Super built-up  Area,Ready To Move,Ghatkopar,2 BHK,,1165,2,2,10000
Super built-up  Area,18-Mar,Lower Parel,3 BHK,NiCodCa,1685,3,3,15000
Super built-up  Area,Ready To Move,Bandra,3 BHK,GrrvaGr,1580,3,3,18471.33758
Super built-up  Area,Ready To Move,Mulund,2 BHK,Soresea,1210,2,1,4885.057471
Super built-up  Area,Ready To Move,Dadar,2 BHK,DSOakil,1030,1,2,45555.55556
Built-up  Area,Ready To Move,Colaba,2 BHK,,1100,2,2,4285.714286
Super built-up  Area,19-Dec,Lower Parel,3 BHK,Magiaya,1255,3,2,28000
Super built-up  Area,20-Dec,Vile Parle,3 BHK,ArndsSk,1482,3,2,18000
Super built-up  Area,Ready To Move,Dadar,2 BHK,Prersis,1344,2,1,11234.5679
Super built-up  Area,18-Jun,Kurla,3 BHK,,1275,2,2,21212.12121
Plot  Area,Ready To Move,Vile Parle,3 Bedroom,,462,3,,15740.74074
Super built-up  Area,Ready To Move,Malad,4 BHK,SNtua S,3300,5,3,12666.66667
Super built-up  Area,Ready To Move,Santacruz,2 BHK,,1210,2,2,28000
Super built-up  Area,19-Jun,Ghatkopar,3 BHK,Raard B,1320,3,3,15867.97842
Super built-up  Area,19-Mar,Khar,3 BHK,Skume R,1532,3,2,33750
Super built-up  Area,Ready To Move,Colaba,2 BHK,Maerar ,1245,2,2,21739.13043
Super built-up  Area,Ready To Move,Bandra,2 BHK,MaentNa,1212,2,,14196.89119
Super built-up  Area,18-Oct,Bandra,2 BHK,,1230,2,1,23229.46176
Plot  Area,Ready To Move,Chembur,5 Bedroom,,1000,5,2,15714.28571
Super built-up  Area,Ready To Move,Lower Parel,3 BHK,DNeremo,2257,3,2,6761.904762
Super built-up  Area,Ready To Move,Ghatkopar,2 BHK,,1246,2,1,33750
Super built-up  Area,Ready To Move,Andheri,2 BHK,Akncyes,1080,2,2,4878.04878
Plot  Area,Ready To Move,Colaba,6 Bedroom,,3Cents,6,3,35428.57143
Super built-up  Area,Ready To Move,Dadar,3 BHK,Vaensia,1360,2,3,37500
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,,1260,2,2,10000
Built-up  Area,Ready To Move,Powai,4 Bedroom,,1200,3,0,21428.57143
Super built-up  Area,Ready To Move,Powai,2 BHK,Prtanha,1418,2,2,21680.2168
Plot  Area,Ready To Move,Santacruz,3 Bedroom,,1200,3,1,30092.59259
Super built-up  Area,Ready To Move,Kurla,2 BHK,,950,2,1,20192.30769
Super built-up  Area,Ready To Move,Chembur,2 BHK,,1020,2,2,16666.66667
Super built-up  Area,18-May,Colaba,3 BHK,Sryalan,1400,2,2,14423.07692
Plot  Area,Ready To Move,Borivali,4 Bedroom,,1440,4,0,6000
Built-up  Area,Ready To Move,Goregaon,6 BHK,,800,6,2,46315.78947
Super built-up  Area,18-Sep,Powai,3 BHK,MCnexva,1310 - 1615,,,28125
Super built-up  Area,18-May,Dadar,2 BHK,Shitt S,1175,2,1,18000
Super built-up  Area,Ready To Move,Vile Parle,2 BHK,GrrvaGr,1185,2,1,10050.25126
Super built-up  Area,Ready To Move,Khar,3 BHK,GRvasth,2250,3,1,22411.95304
Super built-up  Area,Ready To Move,Bandra,2 BHK,S2kaaan,1178,2,2,16619.71831
Super built-up  Area,Ready To Move,Santacruz,4 BHK,Roale D,36000,4,2,17360
Super built-up  Area,Ready To Move,Santacruz,1 BHK,UKe 2nz,825,1,1,11904.7619
Super built-up  Area,18-May,Goregaon,3 BHK,,1250,3,2,15274.72527
Super built-up  Area,Ready To Move,Chembur,2 BHK,Courf T,1113.12,2,2,13944.22311
Super built-up  Area,Ready To Move,Bandra,3 BHK,SaignSo,1718,3,3,21198.83041
Super built-up  Area,Ready To Move,Vile Parle,2 BHK,Srncyla,1010,2,1,22624.43439
Super built-up  Area,21-Dec,Juhu,2 BHK,PrarePa,900,2,1,16101.69492
Plot  Area,Ready To Move,Santacruz,4 Bedroom,,1500,4,3,33333.33333
Plot  Area,Ready To Move,Malad,1 Bedroom,,540,1,1,21527.77778
Super built-up  Area,18-May,Kurla,2 BHK,,1020,2,2,9066.666667
Super built-up  Area,18-Jun,Colaba,2 BHK,PuendWe,1194,2,1,5238.095238
Plot  Area,Ready To Move,Powai,8 Bedroom,,1470,6,2,16266.66667
Plot  Area,Ready To Move,Dadar,3 Bedroom,,600,4,2,20698.05195
Super built-up  Area,Ready To Move,Bandra,2 BHK,Prarkun,1108,2,1,19615.38462
Built-up  Area,Ready To Move,Andheri,4 BHK,RMudeat,3895,2,1,23030.30303
Super built-up  Area,21-Jan,Juhu,2 BHK,PrarePa,700,2,1,10714.28571
Super built-up  Area,Ready To Move,Powai,3 BHK,,1600,3,3,24509.80392
Super built-up  Area,Ready To Move,Kurla,3 BHK,,1850,3,2,15757.57576
Super built-up  Area,Ready To Move,Borivali,2 BHK,LIandee,1250,2,2,18095.2381
Built-up  Area,Ready To Move,Lower Parel,1 Bedroom,,600,1,1,40740.74074
Super built-up  Area,Ready To Move,Worli,2 BHK,GrrvaGr,1140,2,1,16800
Super built-up  Area,Ready To Move,Borivali,3 BHK,,1200,2,2,18395.87932
Super built-up  Area,Ready To Move,Worli,2 BHK,Rarelt ,985,2,1,22110.55276
Super built-up  Area,Ready To Move,Ghatkopar,2 BHK,Sronda ,982,2,2,35416.66667
Built-up  Area,Ready To Move,Goregaon,1 BHK,NaensGa,600,1,0,24118.7384
Super built-up  Area,Ready To Move,Powai,3 BHK,Brica E,2640,5,1,28846.15385
Super built-up  Area,Ready To Move,Andheri,2 BHK,DLhtsnd,1314,2,2,57928.57143
Super built-up  Area,Ready To Move,Powai,3 BHK,,1700,2,2,27272.72727
Super built-up  Area,18-May,Chembur,2 BHK,Inntsth,1077,2,2,13461.53846
Built-up  Area,Ready To Move,Powai,4 Bedroom,MRowsea,1782 - 2000,,,12571.42857
Super built-up  Area,Ready To Move,Juhu,5 BHK,,2000,4,1,20666.66667
Super built-up  Area,Ready To Move,Khar,3 BHK,Viockit,1643,3,2,20000
